#ies_format_version: 1.0
#file: 20250819_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250819;	123732;	1755587252.000;	       err32
20250819;	123736;	1755587256.000;	       err32
20250819;	123740;	1755587260.000;	       err32
20250819;	123744;	1755587264.000;	       err32
20250819;	123748;	1755587268.000;	       err32
20250819;	123752;	1755587272.000;	       err32
20250819;	123756;	1755587276.000;	       err32
20250819;	123800;	1755587280.000;	       err32
20250819;	123804;	1755587284.000;	       err32
20250819;	123808;	1755587288.000;	       err32
20250819;	123812;	1755587292.000;	       err32
20250819;	123816;	1755587296.000;	       err32
20250819;	123820;	1755587300.000;	       err32
20250819;	123824;	1755587304.000;	       err32
20250819;	123828;	1755587308.000;	       err32
20250819;	123832;	1755587312.000;	         948
20250819;	123836;	1755587316.000;	         952
20250819;	123840;	1755587320.000;	         956
20250819;	123844;	1755587324.000;	         960
20250819;	123848;	1755587328.000;	         964
20250819;	123852;	1755587332.000;	         968
20250819;	123856;	1755587336.000;	         972
20250819;	123900;	1755587340.000;	         976
20250819;	123904;	1755587344.000;	         980
20250819;	123908;	1755587348.000;	         984
20250819;	123912;	1755587352.000;	         988
20250819;	123916;	1755587356.000;	         992
20250819;	123920;	1755587360.000;	         996
20250819;	123924;	1755587364.000;	        1000
20250819;	123928;	1755587368.000;	        1004
20250819;	123932;	1755587372.000;	        1008
20250819;	123936;	1755587376.000;	        1012
20250819;	123940;	1755587380.000;	        1016
20250819;	123944;	1755587384.000;	        1020
20250819;	123948;	1755587388.000;	        1024
20250819;	123952;	1755587392.000;	        1028
20250819;	123956;	1755587396.000;	        1032
20250819;	124000;	1755587400.000;	        1036
20250819;	124004;	1755587404.000;	        1040
20250819;	124008;	1755587408.000;	        1044
20250819;	124012;	1755587412.000;	        1048
20250819;	124016;	1755587416.000;	        1052
20250819;	124020;	1755587420.000;	        1056
20250819;	124024;	1755587424.000;	        1060
20250819;	124028;	1755587428.000;	        1064
20250819;	124032;	1755587432.000;	        1068
20250819;	124036;	1755587436.000;	        1072
20250819;	124040;	1755587440.000;	        1076
20250819;	124044;	1755587444.000;	        1080
20250819;	124048;	1755587448.000;	        1084
20250819;	124052;	1755587452.000;	        1088
20250819;	124056;	1755587456.000;	        1092
20250819;	124100;	1755587460.000;	        1096
20250819;	124104;	1755587464.000;	        1100
20250819;	124108;	1755587468.000;	        1104
20250819;	124112;	1755587472.000;	        1108
20250819;	124116;	1755587476.000;	        1112
20250819;	124120;	1755587480.000;	        1116
20250819;	124124;	1755587484.000;	        1120
20250819;	124128;	1755587488.000;	        1124
20250819;	124132;	1755587492.000;	        1128
20250819;	124136;	1755587496.000;	        1132
20250819;	124140;	1755587500.000;	        1136
20250819;	124144;	1755587504.000;	        1140
20250819;	124148;	1755587508.000;	        1144
20250819;	124152;	1755587512.000;	        1148
20250819;	124156;	1755587516.000;	        1152
20250819;	124200;	1755587520.000;	        1156
20250819;	124204;	1755587524.000;	        1160
20250819;	124208;	1755587528.000;	        1164
20250819;	124212;	1755587532.000;	        1168
20250819;	124216;	1755587536.000;	        1172
20250819;	124220;	1755587540.000;	        1176
20250819;	124224;	1755587544.000;	        1180
20250819;	124228;	1755587548.000;	        1184
20250819;	124232;	1755587552.000;	        1188
20250819;	124236;	1755587556.000;	        1192
20250819;	124240;	1755587560.000;	        1196
20250819;	124244;	1755587564.000;	        1200
20250819;	124248;	1755587568.000;	        1204
20250819;	124252;	1755587572.000;	        1208
20250819;	124256;	1755587576.000;	        1212
20250819;	124300;	1755587580.000;	        1216
20250819;	124304;	1755587584.000;	        1220
20250819;	124308;	1755587588.000;	        1224
20250819;	124312;	1755587592.000;	        1228
20250819;	124316;	1755587596.000;	        1232
20250819;	124320;	1755587600.000;	        1236
20250819;	124324;	1755587604.000;	        1240
20250819;	124328;	1755587608.000;	        1244
20250819;	124332;	1755587612.000;	        1248
20250819;	124336;	1755587616.000;	        1252
20250819;	124340;	1755587620.000;	        1256
20250819;	124344;	1755587624.000;	        1260
20250819;	124348;	1755587628.000;	        1264
20250819;	124352;	1755587632.000;	        1268
20250819;	124356;	1755587636.000;	        1272
20250819;	124400;	1755587640.000;	        1276
20250819;	124404;	1755587644.000;	        1280
20250819;	124408;	1755587648.000;	        1284
20250819;	124412;	1755587652.000;	        1288
20250819;	124416;	1755587656.000;	        1292
20250819;	124420;	1755587660.000;	        1296
20250819;	124424;	1755587664.000;	        1300
20250819;	124428;	1755587668.000;	        1304
20250819;	124432;	1755587672.000;	        1308
20250819;	124436;	1755587676.000;	        1312
20250819;	124440;	1755587680.000;	        1316
20250819;	124444;	1755587684.000;	        1320
20250819;	124448;	1755587688.000;	        1324
20250819;	124452;	1755587692.000;	        1328
20250819;	124456;	1755587696.000;	        1332
20250819;	124500;	1755587700.000;	        1336
